len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pesmt1,diff_pesmt1,absdiff_pesmt1,nabsdiff_pesmt1,        len_pesmt2,diff_pesmt2,absdiff_pesmt2,nabsdiff_pesmt2,        len_perbmt1,diff_perbmt1,absdiff_perbmt1,nabsdiff_perbmt1,        len_perbmt2,diff_perbmt2,absdiff_perbmt2,nabsdiff_perbmt2,        len_smt1,diff_smt1,absdiff_smt1,nabsdiff_smt1,        len_smt2,diff_smt2,absdiff_smt2,nabsdiff_smt2,        len_rbmt1,diff_rbmt1,absdiff_rbmt1,nabsdiff_rbmt1,        len_rbmt2,diff_rbmt2,absdiff_rbmt2,nabsdiff_rbmt2        
76,106,30,30,0.39473684210526316,77,1,1,0.013157894736842105,95,19,19,0.25,82,6,6,0.07894736842105263,79,3,3,0.039473684210526314,75,-1,1,0.013157894736842105,89,13,13,0.17105263157894737,82,6,6,0.07894736842105263,79,3,3,0.039473684210526314
95,85,-10,10,0.10526315789473684,111,16,16,0.16842105263157894,99,4,4,0.042105263157894736,98,3,3,0.031578947368421054,101,6,6,0.06315789473684211,79,-16,16,0.16842105263157894,98,3,3,0.031578947368421054,96,1,1,0.010526315789473684,101,6,6,0.06315789473684211
92,99,7,7,0.07608695652173914,87,-5,5,0.05434782608695652,89,-3,3,0.03260869565217391,127,35,35,0.3804347826086957,100,8,8,0.08695652173913043,85,-7,7,0.07608695652173914,86,-6,6,0.06521739130434782,109,17,17,0.18478260869565216,112,20,20,0.21739130434782608
85,92,7,7,0.08235294117647059,76,-9,9,0.10588235294117647,81,-4,4,0.047058823529411764,83,-2,2,0.023529411764705882,70,-15,15,0.17647058823529413,80,-5,5,0.058823529411764705,81,-4,4,0.047058823529411764,89,4,4,0.047058823529411764,83,-2,2,0.023529411764705882
156,165,9,9,0.057692307692307696,151,-5,5,0.03205128205128205,158,2,2,0.01282051282051282,171,15,15,0.09615384615384616,165,9,9,0.057692307692307696,158,2,2,0.01282051282051282,155,-1,1,0.00641025641025641,176,20,20,0.1282051282051282,179,23,23,0.14743589743589744
144,196,52,52,0.3611111111111111,154,10,10,0.06944444444444445,163,19,19,0.13194444444444445,139,-5,5,0.034722222222222224,150,6,6,0.041666666666666664,140,-4,4,0.027777777777777776,151,7,7,0.04861111111111111,146,2,2,0.013888888888888888,152,8,8,0.05555555555555555
233,226,-7,7,0.030042918454935622,237,4,4,0.017167381974248927,235,2,2,0.008583690987124463,244,11,11,0.04721030042918455,225,-8,8,0.034334763948497854,235,2,2,0.008583690987124463,237,4,4,0.017167381974248927,232,-1,1,0.004291845493562232,254,21,21,0.09012875536480687
338,345,7,7,0.020710059171597635,350,12,12,0.03550295857988166,319,-19,19,0.05621301775147929,351,13,13,0.038461538461538464,350,12,12,0.03550295857988166,326,-12,12,0.03550295857988166,318,-20,20,0.05917159763313609,371,33,33,0.09763313609467456,376,38,38,0.11242603550295859
167,176,9,9,0.05389221556886228,165,-2,2,0.011976047904191617,199,32,32,0.19161676646706588,162,-5,5,0.029940119760479042,161,-6,6,0.03592814371257485,199,32,32,0.19161676646706588,185,18,18,0.10778443113772455,164,-3,3,0.017964071856287425,193,26,26,0.15568862275449102
64,76,12,12,0.1875,66,2,2,0.03125,65,1,1,0.015625,64,0,0,0.0,70,6,6,0.09375,61,-3,3,0.046875,64,0,0,0.0,64,0,0,0.0,66,2,2,0.03125
92,98,6,6,0.06521739130434782,88,-4,4,0.043478260869565216,99,7,7,0.07608695652173914,90,-2,2,0.021739130434782608,87,-5,5,0.05434782608695652,87,-5,5,0.05434782608695652,92,0,0,0.0,91,-1,1,0.010869565217391304,93,1,1,0.010869565217391304
87,75,-12,12,0.13793103448275862,95,8,8,0.09195402298850575,87,0,0,0.0,85,-2,2,0.022988505747126436,88,1,1,0.011494252873563218,97,10,10,0.11494252873563218,96,9,9,0.10344827586206896,94,7,7,0.08045977011494253,100,13,13,0.14942528735632185
230,189,-41,41,0.1782608695652174,228,-2,2,0.008695652173913044,221,-9,9,0.0391304347826087,238,8,8,0.034782608695652174,237,7,7,0.030434782608695653,249,19,19,0.08260869565217391,235,5,5,0.021739130434782608,234,4,4,0.017391304347826087,268,38,38,0.16521739130434782
164,178,14,14,0.08536585365853659,167,3,3,0.018292682926829267,171,7,7,0.042682926829268296,171,7,7,0.042682926829268296,178,14,14,0.08536585365853659,138,-26,26,0.15853658536585366,146,-18,18,0.10975609756097561,160,-4,4,0.024390243902439025,157,-7,7,0.042682926829268296
68,80,12,12,0.17647058823529413,70,2,2,0.029411764705882353,61,-7,7,0.10294117647058823,61,-7,7,0.10294117647058823,73,5,5,0.07352941176470588,61,-7,7,0.10294117647058823,93,25,25,0.36764705882352944,61,-7,7,0.10294117647058823,73,5,5,0.07352941176470588
167,147,-20,20,0.11976047904191617,167,0,0,0.0,163,-4,4,0.023952095808383235,185,18,18,0.10778443113772455,180,13,13,0.07784431137724551,170,3,3,0.017964071856287425,136,-31,31,0.18562874251497005,190,23,23,0.1377245508982036,194,27,27,0.16167664670658682
208,239,31,31,0.14903846153846154,222,14,14,0.0673076923076923,219,11,11,0.052884615384615384,226,18,18,0.08653846153846154,215,7,7,0.03365384615384615,227,19,19,0.09134615384615384,216,8,8,0.038461538461538464,227,19,19,0.09134615384615384,252,44,44,0.21153846153846154
62,87,25,25,0.4032258064516129,98,36,36,0.5806451612903226,90,28,28,0.45161290322580644,85,23,23,0.3709677419354839,75,13,13,0.20967741935483872,81,19,19,0.3064516129032258,64,2,2,0.03225806451612903,75,13,13,0.20967741935483872,93,31,31,0.5
302,312,10,10,0.033112582781456956,316,14,14,0.046357615894039736,333,31,31,0.10264900662251655,331,29,29,0.09602649006622517,326,24,24,0.07947019867549669,310,8,8,0.026490066225165563,330,28,28,0.09271523178807947,338,36,36,0.11920529801324503,335,33,33,0.10927152317880795
54,28,-26,26,0.48148148148148145,81,27,27,0.5,72,18,18,0.3333333333333333,56,2,2,0.037037037037037035,48,-6,6,0.1111111111111111,88,34,34,0.6296296296296297,79,25,25,0.46296296296296297,54,0,0,0.0,47,-7,7,0.12962962962962962
50,71,21,21,0.42,67,17,17,0.34,60,10,10,0.2,55,5,5,0.1,59,9,9,0.18,53,3,3,0.06,56,6,6,0.12,61,11,11,0.22,55,5,5,0.1
85,63,-22,22,0.25882352941176473,79,-6,6,0.07058823529411765,74,-11,11,0.12941176470588237,64,-21,21,0.24705882352941178,78,-7,7,0.08235294117647059,82,-3,3,0.03529411764705882,74,-11,11,0.12941176470588237,62,-23,23,0.27058823529411763,67,-18,18,0.21176470588235294
139,141,2,2,0.014388489208633094,135,-4,4,0.02877697841726619,142,3,3,0.02158273381294964,164,25,25,0.17985611510791366,159,20,20,0.14388489208633093,135,-4,4,0.02877697841726619,157,18,18,0.12949640287769784,156,17,17,0.1223021582733813,157,18,18,0.12949640287769784
74,71,-3,3,0.04054054054054054,72,-2,2,0.02702702702702703,72,-2,2,0.02702702702702703,71,-3,3,0.04054054054054054,74,0,0,0.0,77,3,3,0.04054054054054054,75,1,1,0.013513513513513514,76,2,2,0.02702702702702703,84,10,10,0.13513513513513514
109,131,22,22,0.2018348623853211,110,1,1,0.009174311926605505,109,0,0,0.0,102,-7,7,0.06422018348623854,104,-5,5,0.045871559633027525,105,-4,4,0.03669724770642202,146,37,37,0.3394495412844037,108,-1,1,0.009174311926605505,110,1,1,0.009174311926605505
101,97,-4,4,0.039603960396039604,117,16,16,0.15841584158415842,116,15,15,0.1485148514851485,110,9,9,0.0891089108910891,126,25,25,0.24752475247524752,96,-5,5,0.04950495049504951,96,-5,5,0.04950495049504951,114,13,13,0.12871287128712872,116,15,15,0.1485148514851485
77,74,-3,3,0.03896103896103896,78,1,1,0.012987012987012988,80,3,3,0.03896103896103896,78,1,1,0.012987012987012988,89,12,12,0.15584415584415584,85,8,8,0.1038961038961039,87,10,10,0.12987012987012986,85,8,8,0.1038961038961039,95,18,18,0.23376623376623376
60,67,7,7,0.11666666666666667,82,22,22,0.36666666666666664,72,12,12,0.2,81,21,21,0.35,85,25,25,0.4166666666666667,75,15,15,0.25,52,-8,8,0.13333333333333333,81,21,21,0.35,77,17,17,0.2833333333333333
110,118,8,8,0.07272727272727272,119,9,9,0.08181818181818182,132,22,22,0.2,147,37,37,0.33636363636363636,139,29,29,0.2636363636363636,105,-5,5,0.045454545454545456,124,14,14,0.12727272727272726,153,43,43,0.39090909090909093,142,32,32,0.2909090909090909
35,48,13,13,0.37142857142857144,44,9,9,0.2571428571428571,50,15,15,0.42857142857142855,44,9,9,0.2571428571428571,44,9,9,0.2571428571428571,46,11,11,0.3142857142857143,56,21,21,0.6,38,3,3,0.08571428571428572,43,8,8,0.22857142857142856
137,158,21,21,0.15328467153284672,125,-12,12,0.08759124087591241,131,-6,6,0.043795620437956206,148,11,11,0.08029197080291971,151,14,14,0.10218978102189781,109,-28,28,0.20437956204379562,137,0,0,0.0,137,0,0,0.0,141,4,4,0.029197080291970802
154,129,-25,25,0.16233766233766234,151,-3,3,0.01948051948051948,144,-10,10,0.06493506493506493,157,3,3,0.01948051948051948,163,9,9,0.05844155844155844,138,-16,16,0.1038961038961039,124,-30,30,0.19480519480519481,161,7,7,0.045454545454545456,158,4,4,0.025974025974025976
191,183,-8,8,0.041884816753926704,156,-35,35,0.18324607329842932,156,-35,35,0.18324607329842932,163,-28,28,0.14659685863874344,169,-22,22,0.11518324607329843,146,-45,45,0.2356020942408377,158,-33,33,0.17277486910994763,179,-12,12,0.06282722513089005,183,-8,8,0.041884816753926704
85,94,9,9,0.10588235294117647,88,3,3,0.03529411764705882,103,18,18,0.21176470588235294,94,9,9,0.10588235294117647,89,4,4,0.047058823529411764,84,-1,1,0.011764705882352941,97,12,12,0.1411764705882353,99,14,14,0.16470588235294117,92,7,7,0.08235294117647059
115,99,-16,16,0.1391304347826087,91,-24,24,0.20869565217391303,99,-16,16,0.1391304347826087,85,-30,30,0.2608695652173913,100,-15,15,0.13043478260869565,118,3,3,0.02608695652173913,122,7,7,0.06086956521739131,90,-25,25,0.21739130434782608,118,3,3,0.02608695652173913
186,199,13,13,0.06989247311827956,162,-24,24,0.12903225806451613,158,-28,28,0.15053763440860216,167,-19,19,0.10215053763440861,189,3,3,0.016129032258064516,167,-19,19,0.10215053763440861,154,-32,32,0.17204301075268819,207,21,21,0.11290322580645161,194,8,8,0.043010752688172046
102,88,-14,14,0.13725490196078433,111,9,9,0.08823529411764706,114,12,12,0.11764705882352941,109,7,7,0.06862745098039216,112,10,10,0.09803921568627451,111,9,9,0.08823529411764706,115,13,13,0.12745098039215685,108,6,6,0.058823529411764705,118,16,16,0.1568627450980392
202,203,1,1,0.0049504950495049506,224,22,22,0.10891089108910891,214,12,12,0.0594059405940594,227,25,25,0.12376237623762376,228,26,26,0.12871287128712872,196,-6,6,0.0297029702970297,199,-3,3,0.01485148514851485,206,4,4,0.019801980198019802,211,9,9,0.04455445544554455
47,59,12,12,0.2553191489361702,51,4,4,0.0851063829787234,51,4,4,0.0851063829787234,49,2,2,0.0425531914893617,51,4,4,0.0851063829787234,53,6,6,0.1276595744680851,51,4,4,0.0851063829787234,54,7,7,0.14893617021276595,45,-2,2,0.0425531914893617
101,105,4,4,0.039603960396039604,102,1,1,0.009900990099009901,126,25,25,0.24752475247524752,114,13,13,0.12871287128712872,121,20,20,0.19801980198019803,97,-4,4,0.039603960396039604,110,9,9,0.0891089108910891,114,13,13,0.12871287128712872,116,15,15,0.1485148514851485
185,247,62,62,0.33513513513513515,217,32,32,0.17297297297297298,210,25,25,0.13513513513513514,202,17,17,0.0918918918918919,219,34,34,0.1837837837837838,208,23,23,0.12432432432432433,191,6,6,0.032432432432432434,210,25,25,0.13513513513513514,220,35,35,0.1891891891891892
152,159,7,7,0.046052631578947366,145,-7,7,0.046052631578947366,159,7,7,0.046052631578947366,162,10,10,0.06578947368421052,161,9,9,0.05921052631578947,139,-13,13,0.08552631578947369,150,-2,2,0.013157894736842105,158,6,6,0.039473684210526314,163,11,11,0.07236842105263158
109,103,-6,6,0.05504587155963303,127,18,18,0.1651376146788991,121,12,12,0.11009174311926606,112,3,3,0.027522935779816515,139,30,30,0.27522935779816515,127,18,18,0.1651376146788991,118,9,9,0.08256880733944955,116,7,7,0.06422018348623854,132,23,23,0.21100917431192662
178,130,-48,48,0.2696629213483146,153,-25,25,0.1404494382022472,152,-26,26,0.14606741573033707,156,-22,22,0.12359550561797752,163,-15,15,0.08426966292134831,179,1,1,0.0056179775280898875,181,3,3,0.016853932584269662,164,-14,14,0.07865168539325842,172,-6,6,0.033707865168539325
131,130,-1,1,0.007633587786259542,139,8,8,0.061068702290076333,140,9,9,0.06870229007633588,148,17,17,0.1297709923664122,135,4,4,0.030534351145038167,128,-3,3,0.022900763358778626,136,5,5,0.03816793893129771,151,20,20,0.15267175572519084,148,17,17,0.1297709923664122
114,123,9,9,0.07894736842105263,136,22,22,0.19298245614035087,139,25,25,0.21929824561403508,112,-2,2,0.017543859649122806,134,20,20,0.17543859649122806,126,12,12,0.10526315789473684,131,17,17,0.14912280701754385,112,-2,2,0.017543859649122806,137,23,23,0.20175438596491227
158,183,25,25,0.15822784810126583,182,24,24,0.1518987341772152,175,17,17,0.10759493670886076,191,33,33,0.2088607594936709,184,26,26,0.16455696202531644,180,22,22,0.13924050632911392,157,-1,1,0.006329113924050633,203,45,45,0.2848101265822785,195,37,37,0.23417721518987342
195,169,-26,26,0.13333333333333333,182,-13,13,0.06666666666666667,206,11,11,0.05641025641025641,187,-8,8,0.041025641025641026,198,3,3,0.015384615384615385,189,-6,6,0.03076923076923077,205,10,10,0.05128205128205128,188,-7,7,0.035897435897435895,228,33,33,0.16923076923076924
123,152,29,29,0.23577235772357724,147,24,24,0.1951219512195122,150,27,27,0.21951219512195122,142,19,19,0.15447154471544716,124,1,1,0.008130081300813009,124,1,1,0.008130081300813009,133,10,10,0.08130081300813008,143,20,20,0.16260162601626016,135,12,12,0.0975609756097561
53,41,-12,12,0.22641509433962265,41,-12,12,0.22641509433962265,40,-13,13,0.24528301886792453,41,-12,12,0.22641509433962265,44,-9,9,0.16981132075471697,38,-15,15,0.2830188679245283,31,-22,22,0.41509433962264153,49,-4,4,0.07547169811320754,39,-14,14,0.2641509433962264
16,15,-1,1,0.0625,18,2,2,0.125,18,2,2,0.125,18,2,2,0.125,18,2,2,0.125,22,6,6,0.375,22,6,6,0.375,28,12,12,0.75,28,12,12,0.75
104,135,31,31,0.2980769230769231,117,13,13,0.125,114,10,10,0.09615384615384616,118,14,14,0.1346153846153846,111,7,7,0.0673076923076923,121,17,17,0.16346153846153846,117,13,13,0.125,132,28,28,0.2692307692307692,147,43,43,0.41346153846153844
